clave,nombre,activo,contacto,tipo,tipos_servicio,descripcion_servicios,metodo_pago,cuenta_pago,correo_e_contacto,razon_social,nombre_fiscal,regimen_fiscal,direccion,exterior,interior,colonia,cp,ciudad,estado,pais,telefono1,telefono2,fax,telefono800,correo_e,sitio_web,rfc,cuenta1,banco1,clabe1,cuenta2,banco2,clabe2,cuenta3,banco3,clabe3,cuenta4,banco4,clabe4,cuenta5,banco5,clabe5,titulo_anexo,vigencia_anexo,titulo_anexo2,vigencia_anexo2,titulo_anexo3,vigencia_anexo3,acepta_pago_directo,tasa_iva,agregar_iva_comision,pct_comision,pcc_sabre,codigo_bookingmotor,saldo_monedero,proveedor_corp,proveedor_corporativo,notas,imagen_cupon
23527,"PORTRAIT MILANO HOTEL LUNGARNO COLLECTION",1,Reservations,V,HTL,,,,reservations.milano@lungarnocollection.com,"Lungarno Alberghi SRL",,,"Corso Venezia, 11, 20121 ",,,,,"Milano MI",,Italia,"+39 02 3679 95800",,,,,,04685810485,,,,,"IBAN: IT47 R030 6902 8871 0000","SWIFT: BCITITMMXXX",,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,285080,,0.00,0,0,,0
23590,Aeromexico,1,"Servicio a cliente",V,"BBF,VLO,ABC",,,,amcustomersupport@aeromexico.com,"AEROVIAS DE MEXICO SA DE CV",,,"Avenida Paseo de la Reforma Número 243 Piso 25 C.P. 06500",,,"Colonia Cuauhtémoc",,"Ciudad de México",,México,"55 5133 4000",,,,,,AER7108064A2,"Tarjeta AMEX",,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
23619,MONDIAL,1,Reservations,V,TRF,,,,incoming@mondial-travel.com,"Mondial GmbH & Co. KG",,,"1040 ",,,,,Vienna,,Austria,+43158804-0,,,,,www.mondial-travel.com,"FN 117613k","UniCredit Bank Austria AG","IBAN: AT381200010710580700","SWIFT: BKAUATWW",,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
23666,"MATACHICA RESORT & SPA, AN SLH HOTEL",1,Reservations,V,HTL,,,,,"MATACHICA CO. LTD.",,,"Ambergris Caye, 5 Miles North",,,,," San Pedro",,Belice,"+1 802-880-9030",,,,,,29333,,,,"VENTA DIRECTA",,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,289519,,0.00,0,0,,0
23789,"TRIUMPH TRAVEL",1,Reservations,V,PKT,,,,karen@triumph-travel.com,"Triumph Travel (PTY) Ltd",,,"Block B, 1st Floor, Sable Square, Corner Bosmansdam & Ratanga Road, Milnerton",,,,,"Cape Town",,Sudáfrica,"+27 21 526 9000",,,,,,4400251460,"Triumph Travel (PTY) Ltd","Branch: 198765",Nedbank,7082014368,Nedbank,"Swift code: NEDSZAJJ",,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
23898,"KLM Royal Dutch Airlines",1,,V,"BBF,VLO,ABC",,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
23899,"Alaska Airlines",1,,V,"BBF,VLO,ABC",,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
23900,"My Concierge",1,,V,PKT,,,,,"RCS NANTERRE",,,"58 avenue d’Iéna - 75116 PARIS",,,,,,,,"01 75 44 80 20",,,,,,FR95479162794,,,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
23921,"Air France",1,,V,"BBF,VLO,ABC",,,,,,,,,,,,,,,,-,,,,,,,"Tarjeta AMEX",,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
23931,"Abercrombie and Kent Europe",1,Reservations,V,PKT,,,,agencysales@europe.abercrombiekent.com,"ABERCROMBIE & KENT GLOBAL TRAVEL LIMITED",,,"St Georges House, Ambrose Street, GL50 3LG",,,,,Cheltenham,,"Reino Unido","+44 1242 547 900",,,,,,662563524,"TARJETA AMEX",,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
23934,FELTRINELLI,1,,V,,,,,,,,,,,,,,"Gargnano BS",,Italia,"+39 0365 798000",,,,,,,,,,,,,,,,,,,,,,,0000-00-00,"DATOS BANCARIOS",0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
23935,"Queen of Clubs France",1,,V,PKT,,,,,"VAT Number FR 04809611726","Queen of Clubs France SAS",,"Wework 198 Avenue De France Paris, 75013 France",,,,,,,,-,,,,,,,,,,"ACC 00520048037","IBAN FR76 1010 7002 3000 5200 ","BIC BREDFRPPXXX",,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
23965,"FOUR SEASONS HOTEL GRESHAM PALACE BUDAPEST",1,Reservations,V,HTL,,,,pp.budapest@fourseasons.com,"Four Seasons Budapest Hotel Management Limited Liability Company",,,"Budapest, Széchenyi István tér 5-6, 1051",,,,,Budapest,,Hungría,"+36 1 268 6000",,,,,,"01 09 684653",,,,,"EUR IBAN: HU29 12001008 014929","Swift code: UBRTHUHB",,"USD IBAN: HU29 12001008 014929",,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,61179,,0.00,0,0,,0
23966,"British Airways",1,,V,"BBF,VLO,ABC",,,,,,,,,,,,,,,,-1234567,,,,,,,"Tarjeta AMEX",,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
23996,"South African Airways",1,,V,"BBF,VLO,ABC",,,,,,,,,,,,,,,,-,,,,,,,"Tarjeta AMEX",,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24006,"ESTELLE MANOR",1,Reservations,V,HTL,,,,friendsofestelle@estellemanor.com,"Ennismore International Management Limited",,,"Estelle Manor, Eynsham Park, OX29 6PN",,,,," Witney",,"Reino Unido","+44 1993 685800",,,,,,11258257,,,,"VENTA DIRECTA",,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,604130,,0.00,0,0,,0
24009,"THE SURREY A CORINTHIA HOTEL",1,Reservations,V,HTL,,,,hotels@ecommerce.corinthia.com,"Corinthia Hotels Limited",,,"20 E 76th St, NY 10021",,,,,"New York",,"Estados Unidos","+1 212-730-4551",,,,,,"C 26136","Tarjeta AMEX",,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,605721,,0.00,0,0,,0
24017,Eurostar,1,,V,TRN,,,,,,,,,,,,,,,,-,,,,,,,"Tarjeta AMEX",,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24166,"LE BRISTOL PARIS",1,Reservations,V,HTL,,,,Reservations.lebristolparis@oetkercollection.com,"HOTEL LE BRISTOL",,,"112 Rue du Faubourg Saint-Honoré, 75008",,,,,Paris,,Francia,"+33 1 53 43 43 00",,,,,,"572 047 751",,,,14322435001,FR7640978000221432243500195,"BIC BSPFFRPPXXX",,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,22593,,0.00,0,0,,0
24210,"VIP INCOMING",1,Reservations,V,PKT,,,,,"Voyages Iles Et Plaisirs",,,"B.10 Les berges du lac 1053 Tunis",,,,,,,Túnez,"+216 58 483 312",,,,,," 496085",,,,,"IBAN: TN5901902047114800492640","BIC: ATBKTNTT",,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24224,"American Airlines",1,,V,"BBF,VLO,ABC",,,,,,,,,,,,,,,,-,,,,,,,"Tarjeta AMEX",,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24227,"Regis Washington D.C.",1,,V,HTL,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24231,"N2S Italia Client Service",1,,V,,,,,,"N2S Italia Ltd",,,"39 Ludgate Hill, London EC4M 7JN, Reino Unido",,,,,,,,1234567,,,,,,,,,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24232,"Alan Becker Schwarz",1,"ALAN BECKER SCHWARZ",V,OTR,REEMBOLSO,,,REEMBOLSO,CLIENTE,,,NA,,,,,,,,NA,,,,,,CLIENTE,"Cuenta: 23396","BANCA MIFEL","Clabe: 042180000000233962",,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,"CLIENTE REEMBOLSO",0
24236,"Privilege Italia SRL",1,,V,PKT,,,,,"Privilege Italia SRL","Privilege Italia SRL",,"Via Roma 28, 80076 Capri NA",28,,,,,,italia,"+39 338 4415152",,,,,,,,,,,"IBAN code: IT34J05387397900000","BIC/SWIFT Code : BPMOIT22",,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,"Bank Account Details
Bank: BPER BANCA SPA
Bank Address: Via Roma 28, 80076 Capri NA
Account name :
Bank Account number
BIC/SWIFT Code : BPMOIT22
IBAN code: IT34J0538739790000003316439",0
24237,"BULGARI HOTEL ROMA",1,Reservations,V,HTL,,,,roma@bulgarihotels.com,"Bulgari Hotels and Resorts Milano - S.R.L",,,"Piazza Augusto Imperatore, 10, 00186 ",10,,,,Roma,Roma,Italia," +39 06 3608 0400",,,,,,IT15341111001,,"INTESA SANPAOLO",,,IT40T0306905020100000065292,"SWIFT: BCITITMM",,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,602173,,0.00,0,0,"INTESA SANPAOLO
IBAN: IT40T0306905020100000065292
SWIFT: BCITITMM",0
24239,"UNITED PLACES HOTEL BOTANIC GARDENS",1,Reservations,V,HTL,,,,stay@unitedplaces.com.au,"United Places Management Pty Ltd.",,,"157 Domain Rd, VIC 3141",,,,,"South Yarra",,Australia,"+61 3 9866 6467",,,,,,"616 025 033",,,,"VENTA DIRECTA",,,,,,,,,,,,"Supplier Registration Form",0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,323321,,0.00,0,0,,0
24241,"HOTEL SAVOY",1,Reservations,V,HTL,,,,reservations.savoy@roccofortehotels.com,"Rocco Forte & Family (Florence) SpA","Rocco Forte & Family (Florence)",,"Via del Babuino 9 - 00187",,,,,Roma,Roma,Italia,"+39 055 27351","+39 055 27 35 884",,,,,IT048017A1UD5I2,"104069964 ","UNICREDIT CORPORATE BANKING S.",IT59S0200805364000104069964,"BIC: UNCRITMM","Swift Code: UNCRITMM ","Sort Codes: ABI 02008 CAB 0536",,,,,,,,,,"Supplier Registration Form",0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,50493,,0.00,0,0,"Bank Name: UNICREDIT CORPORATE BANKING S.P.A
Bank Branch: FILIALE OPERATIVA ROMA 1
Bank Address: Via Padre Semeria, 5 - 00154 Roma
Current Account: 104069964
Sort Codes: ABI 02008 CAB 05364 CIN A
Swift Code: UNCRITMM
Iban: IT 59 S 02008 05364 0",0
24242,"THE GRITTI PALACE",1,Reservations,V,HTL,,,,grittipalace@luxurycollection.com,"Gritti Capital SRL ",,,"S. Maria del Giglio, 2467",,,,,,Venecia,Italia,"+39 041 794611",,,,,,1833139,,,,,"IBAN IT 26 Y030 6902 1171 0000","Swift Code BCITITMMXXX",,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,40073,,0.00,0,0,"Account Name: Gritti Capital SRL 
Bank: INTESA SANPAOLO SPA
Iban CODE: IT 26 Y030 6902 1171 00000013271
Int´l Bank Swift Code: BCITITMMXXX",0
24262,"VIALLO, S.A.",1,Information,V,VLO,,,,vitavega@viallo.com.mx,"Viallo, S.A.",,,"Ameyalco 20, México, 03100",,,,,"Ciudad De México",,México,"55 5687 2999",,,,,,47240000,0100708461,"BBVA BANCOMER","CLABE: 012180001007084619",266-6953595,BANAMEX,002180026669535957,"Tarjeta AMEX",,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24263,"Turkish Airlines",1,,V,"BBF,VLO,ABC",,,,,,,,,,,,,,,,-,,,,,,,"Tarjeta AMEX",,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24267,"THE MARK HOTEL",1,"Sales Coordinator",V,HTL,,,,Santiago.Focinos@themarkhotel.com,"The Mark Hotel Management LLC",,,"25 E 77th St, New York, NY 10075",,,,,,,"Estados Unidos","+1 212-744-4300",,,,,,4094280,"Account: 9995821376","Citibank N.A.","Swift: CITIUS33 ABA: 021000089","Tarjeta AMEX",,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,50969,,0.00,0,0,"Payment must be made in USD, net of fees for receiver. Please indicate reference information (Confirmation # or Guest First and Last name)
BANK:  CITIBANK NA
BENEFICIARY:  MARK OPCO LP DBA THE MARK
ACCOUNT:  9995821376
ABA:  021000089
SWIFT: CIT",0
24338,"ROCCO FORTE HOTEL SAVOY",1,Reservations,V,HTL,,,,reservations.savoy@roccofortehotels.com,"Rocco Forte Hotels Limited",,,"Piazza della Repubblica, 7, 50123",,,,,,Florencia,Italia,"+39 055 27351",,,,,,03277921,,,,"VENTA DIRECTA",,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,50493,,0.00,0,0,,0
24399,"Ethiopian Airlines",1,,V,"BBF,VLO,ABC",,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24401,"WE PLAN",1,"Alexandre Mathieu - Founder and General Manager ",V,PKT,"DMC SERVICES IN MOROCCO",,,am@weplandmc.com,"WE PLAN LTD",,,"Building 6EA Office 213",,,,,Dubái,,"Emiratos Árabes Unidos",+212656596000,,,,,,08635657,,"ADIB - Al Sultan Tower Najda S",,,"IBAN: AE050500000000028192449","SWIFT: ABDIAEADXXX",,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24440,"THE STANDARD EAST VILLAGE",1,Reservations,V,HTL,,,,reservations.ev@standardhotels.com,"Standard International, LLC",,,"25 Cooper Sq, NY 10003",,,,,"New York",,"Estados Unidos","+1 212-475-5700",,,,,,M13000007107,"Tarjeta AMEX",,,"VENTA DIRECTA",,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,80921,,0.00,0,0,,0
24443,"FOUR SEASONS HOTEL AT THE SURF CLUB, SURFSIDE, FLORIDA",1,Reservations,V,HTL,,,,reservations.mfl@fourseasons.com,"Four Seasons Hotels Limited",,,"9011 Collins Ave, Surfside, FL 33154",,,,,Florida,,"Estados Unidos","+1 305-381-3333",,,,,,98-0057100,,,,"VENTA DIRECTA",,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,305103,,0.00,0,0,,0
24490,"WELL COM AIR",1,Reservations,V,OTR,,,,info@wellcomairservices.com,"WELL'COM GROUP",,,"17 Rue du Colisée  75008",,,,,Paris,,Francia,"+33 (0)1 39 93 91 14",,,,,,"FR39 530839687",,,,,FR7630003032200002046173924,"BIC: SOGEFRPP",,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24493,"VISTA VERONA",1,Reservations,V,HTL,,,,info@vistapalazzoverona.com,"LARIOHOTELS SOCIETA’ BENEFIT SPA",,,"Corticella Leoni, 3, 37121",,,,,"Verona VR",,Italia,"+39 045 1117 0880",,,,,,00787190131,,,,"VENTA DIRECTA",,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,396050,,0.00,0,0,,0
24495,"United Airlines",1,,V,"BBF,VLO,ABC",,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24750,"Swiss International Airlines",1,,V,"BBF,VLO,ABC",,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24811,"NORDIC LUXURY",1,"Ryan Cobain",V,"ATR,PKT",,,,ryan@nordicluxury.is,"NORDIC LUXURY",,,"Austurhraun 3, 210 Garðabær",,,,,,,Islandia,"+354 497 9000",,,,,,601113-1200,,,,,"IS8903013871 8152 6011 1312 00",ESJAISRE,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24812,"Emirates Airlines",1,,V,"BBF,VLO,ABC",,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24825,"THE PENINSULA ISTANBUL",1,Reservations,V,HTL,,,,reservationpit@peninsula.com,"The Hongkong and Shanghai Hotels, Limited",,,"Kemanke&#351; Karamustafa Pa&#351;a, Kemanke&#351; Cd. No:34, 34425",,,,,Beyo&#287;lu/&#304;stanbul,,Turquía,"+90 212 931 28 88",,,,,,00045,,,,"VENTA DIRECTA",,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,396850,,0.00,0,0,,0
24878,"THE ALPINA GSTAAD",1,Reservations,V,HTL,,,,reservations@thealpinagstaad.ch,"Grand Hotel Alpina GmbH",,,"Alpinastrasse 23, 3780 ",,,,,Gstaad,,Suiza,"+41 33 888 98 88",,,,,,CHE-342.414.076,,"Grand Hotel Alpina GmbH",,1805544-01,"IBAN: CH4904835180554401000",,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,163487,,0.00,0,0,,0
24893,"Quantum Jets",1,,V,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24894,"DAWE YACHTS",1,Reservations,V,CRC,,,,info@daweyachts.com,"R&S Travel Representations Limited",,,"Don Francisco 2925, B1644 Victoria",,,,,"Provincia de Buenos Aires",,Argentina,"+54 11 3355-0416",,,,,,108086,"Tarjeta AMEX",,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24898,"TANZERRA RESORTS",1,"Miri Paz",V,HTL,,,,Miri.Paz@tanzerra.com,"ENCHANTMENT GROUP MANAGEMENT COMPANY, LLC",,,"16430 N Scottsdale Rd Suite 290",,,,,Scottsdale,Arizona,"Estados Unidos",1-888-250-1699,,,,resdesk@tanzerra.com,https://tanzerra.com/,98046232,,,,"VENTA DIRECTA",,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24922,"GARCIA FERNANDEZ TURISMO",1,"Maria Giudici",V,PKT,,,,mariagiudici@gft.com.ar,"GARCIA FERNANDEZ TURISMO",,,"Av. Pres. Manuel Quintana 585, C1112 C1129ABB",,,,,,"Buenos Aires",Argentina,"+54 11 5263-9969",,,,,,20-14015221-9,,,,"4004590-1 064-8",,GABAARBA,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,"CUENTA BANCARIA: 
Beneficiary: Diego Miguel Garcia Fernandez.
Account number: 4004590-1 064-8
Bank: Banco de Galicia y Buenos Aires SAU.
Bank address: Tte. Juan Domingo Peron 407 Buenos Aires Argentina
Swift : GABAARBA",0
24961,"ONCF VOYAGES",1,,V,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24966,"Holycow Holidays",1,"Tarun Chopra",A,PKT,,,,,"HOLYCOW HOLIDAYS LLP",,,"61 - B, BLOCK - H, SAKET, NEW DELHI -110017, INDIA.",,,,11001,"NEW DELHI",,INDIA,"+ 91 11 4907 7600",,,,info@holycowholidays.in,,,,,,"10007837492 ",,IDFBINBBMUM,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,"HOLYCOW HOLIDAYS LLP.  61 - B, BLOCK - H, SAKET, NEW DELHI -110017, INDIA.
Reg. Address: 150 -B, Central Avenue, Sainik Farms, New Delhi, Delhi, India -110068 
IFSC CODE               : IDFB0020101",0
24971,"Cibanco, SA",1,,O,,,,,,,,,,,,,,,,,"1103 1103",,,,,,,,,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24972,"GRADUATE BY HILTON PRINCETON",1,Reservations,V,HTL,,,,frontoffice@graduateprinceton.com,"Hilton Worldwide Holdings Inc",,,"10 Chambers St, Princeton, NJ 08542",,,,,,,"Estados Unidos","+1 609-436-9400",,,,,,92-0219665,,,,"VENTA DIRECTA",,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,607707,,0.00,0,0,,0
24979,Janu,1,,V,,,,,,,,,,,,,,,,,+810367312312,,,,,,,"Tarjeta AMEX",,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
24982,"All Nippon Airways",1,"Mickey Miyamae ",V,"BBF,VLO,ABC",,,,m.miyamae@fly-ana.com,,,,,,,,,,,,800.235.9262,"800.262.2250 ",,,salessupport@fly-ana.com,,,,,,,,,,,,,,,,,,,0000-00-00,,0000-00-00,,0000-00-00,0,,0,0.00,,,0.00,0,0,,0
